,pdf_type,confidence,total_pages,text_pages,scanned_pages,mixed_pages,ocr_pages,ocr_enabled,processing_time_sec,extraction_engine,requires_ocr,requires_docling,decision_reason
0,UNKNOWN,0,0,0,0,0,0,FALSE,0.0530301,,FALSE,FALSE,
1,TEXT,62.26541555,373,369,1,3,0,FALSE,14.5609669,PyMuPDF,FALSE,FALSE,369 of 373 pages contain a text layer. OCR is not required. Use direct text and table extraction.
2,UNKNOWN,0,0,0,0,0,0,FALSE,0.0396756,,FALSE,FALSE,
3,MIXED,56.37777778,450,378,3,69,0,TRUE,7.7418217,PyMuPDF,FALSE,FALSE,378 of 450 pages contain a reliable text layer. Most content can be extracted directly. Use PyMuPDF for extraction.
4,UNKNOWN,0,0,0,0,0,0,FALSE,0.0364687,,FALSE,FALSE,
5,TEXT,64.18981481,216,208,4,4,0,FALSE,10.350748,PyMuPDF,FALSE,FALSE,208 of 216 pages contain a text layer. OCR is not required. Use direct text and table extraction.
6,UNKNOWN,0,0,0,0,0,0,FALSE,0.0650643,,FALSE,FALSE,
7,TEXT,64.0625,256,251,0,2,3,FALSE,10.8028073,PyMuPDF,FALSE,FALSE,251 of 256 pages contain a text layer. OCR is not required. Use direct text and table extraction.
8,TEXT,68.43137255,153,149,1,2,1,FALSE,7.2851417,PyMuPDF,FALSE,FALSE,149 of 153 pages contain a text layer. OCR is not required. Use direct text and table extraction.
9,UNKNOWN,0,0,0,0,0,0,FALSE,0.0311662,,FALSE,FALSE,
10,TEXT,59.3,550,535,1,14,0,FALSE,6.5896381,PyMuPDF,FALSE,FALSE,535 of 550 pages contain a text layer. OCR is not required. Use direct text and table extraction.
11,TEXT,59.59951456,412,401,1,10,0,FALSE,6.6709864,PyMuPDF,FALSE,FALSE,401 of 412 pages contain a text layer. OCR is not required. Use direct text and table extraction.
12,UNKNOWN,0,0,0,0,0,0,FALSE,0.0282029,,FALSE,FALSE,
13,MIXED,72.98701299,154,133,1,20,0,TRUE,4.1852861,PyMuPDF,FALSE,FALSE,133 of 154 pages contain a reliable text layer. Most content can be extracted directly. Use PyMuPDF for extraction.
14,MIXED,53.06213018,338,300,8,29,1,TRUE,3.2221989,PyMuPDF,FALSE,FALSE,300 of 338 pages contain a reliable text layer. Most content can be extracted directly. Use PyMuPDF for extraction.
15,TEXT,60.69321534,339,328,7,4,0,FALSE,5.1143165,PyMuPDF,FALSE,FALSE,328 of 339 pages contain a text layer. OCR is not required. Use direct text and table extraction.
16,TEXT,58.14,250,237,1,12,0,FALSE,5.65912,PyMuPDF,FALSE,FALSE,237 of 250 pages contain a text layer. OCR is not required. Use direct text and table extraction.
